accuracy_when_gold_present,cite_f1,decomposition_line,drop_rate,entailment,exact_acc,gold_present_rate,mtime,pattern,rows,run_dir,run_name,selection_rate,value_acc
0.75,0.75,1.0000 -> 1.0000 -> 0.7500 -> 0.7500,0.0,0.75,0.75,1.0,1766864138.272466,runs,1,runs,runs,1.0,0.75
0.0,0.0,,0.3125,1.0,0.0,,1766554634.8488016,ab_pick_0_gold_first_k4_same,3,runs\ab_pick_0_gold_first_k4_same_s3q16,ab_pick_0_gold_first_k4_same_s3q16,0.0,0.0
0.5625,0.5625,,0.4375,1.0,0.5625,,1766557722.7828567,ab_pick_0_gold_last_k4_same,3,runs\ab_pick_0_gold_last_k4_same_s3q16,ab_pick_0_gold_last_k4_same_s3q16,0.5625,0.5625
0.0,0.0,,0.4375,1.0,0.0,,1766556185.8244164,ab_pick_0_gold_middle_k4_same,3,runs\ab_pick_0_gold_middle_k4_same_s3q16,ab_pick_0_gold_middle_k4_same_s3q16,0.0,0.0
0.20833333333333334,0.20833333333333334,,0.375,1.0,0.20833333333333334,,1766559280.3825288,ab_pick_0_shuffle_k4_same,3,runs\ab_pick_0_shuffle_k4_same_s3q16,ab_pick_0_shuffle_k4_same_s3q16,0.20833333333333334,0.20833333333333334
0.0,0.0,,0.4375,1.0,0.0,,1766561745.8155448,ab_pick_1_gold_first_k4_same,3,runs\ab_pick_1_gold_first_k4_same_s3q16,ab_pick_1_gold_first_k4_same_s3q16,0.0,0.0
0.4166666666666667,0.4166666666666667,,0.3125,1.0,0.4166666666666667,,1766566664.2252853,ab_pick_1_gold_last_k4_same,3,runs\ab_pick_1_gold_last_k4_same_s3q16,ab_pick_1_gold_last_k4_same_s3q16,0.4166666666666667,0.4166666666666667
0.020833333333333332,0.020833333333333332,,0.625,1.0,0.020833333333333332,,1766564187.206563,ab_pick_1_gold_middle_k4_same,3,runs\ab_pick_1_gold_middle_k4_same_s3q16,ab_pick_1_gold_middle_k4_same_s3q16,0.020833333333333332,0.020833333333333332
0.20833333333333334,0.20833333333333334,,0.375,1.0,0.20833333333333334,,1766569150.61781,ab_pick_1_shuffle_k4_same,3,runs\ab_pick_1_shuffle_k4_same_s3q16,ab_pick_1_shuffle_k4_same_s3q16,0.20833333333333334,0.20833333333333334
0.4375,0.4375,,0.5625,1.0,0.4375,,1766614745.9110205,ab_rerank_latest_step_k1_same_shuffle,3,runs\ab_rerank_latest_step_k1_same_shuffle_s3q16,ab_rerank_latest_step_k1_same_shuffle_s3q16,0.4375,0.4375
